Algorithm,MaxRes,Consensus Threshold,Persistent Threshold,Number of Nodes,Number of Edges,MaxDepth,Number of nodes aligned to SynGO,Ratio of Aligned Systems,Number of nodes with FDR <= 0.05 (Significant Systems),Ratio of Significant Systems
louvain,10,75,2,316,341,5,41,0.12974683544303797,10,0.24390243902439024
leiden,10,75,2,328,341,6,39,0.11890243902439024,8,0.20512820512820512
leiden,10,75,3,125,125,5,27,0.216,7,0.25925925925925924
louvain,10,75,3,104,105,5,27,0.25961538461538464,7,0.25925925925925924
leiden,10,75,4,59,58,4,22,0.3728813559322034,8,0.36363636363636365
louvain,10,75,4,55,57,4,20,0.36363636363636365,8,0.4
louvain,10,75,5,34,33,3,34,1.0,9,0.2647058823529412
leiden,10,75,5,48,47,3,23,0.4791666666666667,11,0.4782608695652174
leiden,10,75,6,35,34,2,21,0.6,7,0.3333333333333333
louvain,10,75,6,27,26,4,21,0.7777777777777778,10,0.47619047619047616
louvain,10,75,7,23,22,2,21,0.9130434782608695,10,0.47619047619047616
leiden,10,75,7,24,23,3,23,0.9583333333333334,10,0.43478260869565216
louvain,10,75,8,17,16,2,17,1.0,9,0.5294117647058824
leiden,10,75,8,24,23,2,21,0.875,8,0.38095238095238093
leiden,20,75,2,340,446,9,41,0.12058823529411765,11,0.2682926829268293
louvain,20,75,2,385,408,8,33,0.08571428571428572,7,0.21212121212121213
leiden,20,75,3,124,129,5,30,0.24193548387096775,8,0.26666666666666666
louvain,20,75,3,118,121,7,25,0.211864406779661,10,0.4
louvain,20,75,4,65,64,5,22,0.3384615384615385,9,0.4090909090909091
leiden,20,75,4,76,78,4,22,0.2894736842105263,9,0.4090909090909091
leiden,20,75,5,58,58,4,21,0.3620689655172414,4,0.19047619047619047
louvain,20,75,5,48,47,3,23,0.4791666666666667,8,0.34782608695652173
louvain,20,75,6,39,38,3,23,0.5897435897435898,9,0.391304347826087
leiden,20,75,6,45,44,3,23,0.5111111111111111,10,0.43478260869565216
louvain,20,75,7,31,30,3,23,0.7419354838709677,12,0.5217391304347826
leiden,20,75,7,32,31,3,23,0.71875,10,0.43478260869565216
louvain,20,75,8,28,27,2,23,0.8214285714285714,9,0.391304347826087
leiden,20,75,8,26,25,3,22,0.8461538461538461,9,0.4090909090909091
leiden,30,75,2,345,360,6,38,0.11014492753623188,6,0.15789473684210525
louvain,30,75,2,319,340,6,34,0.10658307210031348,8,0.23529411764705882
leiden,30,75,3,125,129,6,28,0.224,9,0.32142857142857145
louvain,30,75,3,120,129,4,29,0.24166666666666667,7,0.2413793103448276
louvain,30,75,4,69,69,5,22,0.3188405797101449,5,0.22727272727272727
leiden,30,75,4,72,73,5,22,0.3055555555555556,8,0.36363636363636365
louvain,30,75,5,51,51,5,22,0.43137254901960786,6,0.2727272727272727
leiden,30,75,5,52,51,3,25,0.4807692307692308,9,0.36
louvain,30,75,6,34,33,3,23,0.6764705882352942,12,0.5217391304347826
leiden,30,75,6,39,39,3,22,0.5641025641025641,7,0.3181818181818182
louvain,30,75,7,26,25,3,24,0.9230769230769231,12,0.5
leiden,30,75,7,29,28,3,24,0.8275862068965517,11,0.4583333333333333
leiden,30,75,8,29,28,2,23,0.7931034482758621,9,0.391304347826087
louvain,30,75,8,25,24,2,22,0.88,9,0.4090909090909091
leiden,40,75,2,306,323,6,36,0.11764705882352941,10,0.2777777777777778
louvain,40,75,2,328,341,7,33,0.10060975609756098,6,0.18181818181818182
louvain,40,75,3,113,117,5,26,0.23008849557522124,7,0.2692307692307692
leiden,40,75,3,127,130,6,31,0.2440944881889764,13,0.41935483870967744
louvain,40,75,4,73,73,5,21,0.2876712328767123,6,0.2857142857142857
leiden,40,75,4,65,64,5,23,0.35384615384615387,8,0.34782608695652173
leiden,40,75,5,55,55,4,24,0.43636363636363634,6,0.25
louvain,40,75,5,51,50,3,25,0.49019607843137253,11,0.44
leiden,40,75,6,43,42,3,23,0.5348837209302325,10,0.43478260869565216
louvain,40,75,6,39,38,3,24,0.6153846153846154,10,0.4166666666666667
louvain,40,75,7,34,33,3,24,0.7058823529411765,12,0.5
leiden,40,75,7,31,30,3,24,0.7741935483870968,11,0.4583333333333333
louvain,40,75,8,27,26,2,22,0.8148148148148148,11,0.5
leiden,40,75,8,25,24,3,22,0.88,12,0.5454545454545454
leiden,50,75,2,332,363,7,39,0.11746987951807229,9,0.23076923076923078
louvain,50,75,2,339,363,6,44,0.12979351032448377,8,0.18181818181818182
leiden,50,75,3,133,138,7,28,0.21052631578947367,9,0.32142857142857145
louvain,50,75,3,130,134,5,22,0.16923076923076924,10,0.45454545454545453
leiden,50,75,4,70,71,5,22,0.3142857142857143,6,0.2727272727272727
louvain,50,75,4,69,71,5,23,0.3333333333333333,7,0.30434782608695654
louvain,50,75,5,50,51,4,23,0.46,6,0.2608695652173913
leiden,50,75,5,53,52,4,25,0.4716981132075472,7,0.28
louvain,50,75,6,42,41,3,23,0.5476190476190477,10,0.43478260869565216
leiden,50,75,6,43,42,3,23,0.5348837209302325,8,0.34782608695652173
leiden,50,75,7,34,33,2,23,0.6764705882352942,9,0.391304347826087
louvain,50,75,7,28,27,3,23,0.8214285714285714,8,0.34782608695652173
louvain,50,75,8,27,26,4,22,0.8148148148148148,11,0.5
leiden,50,75,8,30,29,3,22,0.7333333333333333,11,0.5
